Year,childHIV,Life.expectancy
2001,200,64.16092683
2002,200,64.43039024
2003,500,64.69136585
2004,500,64.94082927
2005,500,65.1747561
2006,500,65.39312195
2007,1000,65.59590244
2008,1000,65.78463415
2009,1000,65.96126829
2010,1000,66.12634146
2011,1100,66.28387805
2012,1400,66.43587805
2013,1600,66.58536585
